table,column,ontology,uri
weather,description,SWEET,http://sweetontology.net/realmAtmoWeather
lighting,description,SWEET,http://sweetontology.net/phenAtmoLightning
vehicle,description,DBpedia Ontology,https://dbpedia.org/ontology/Automobile
road_surface,description,ENVO,http://purl.obolibrary.org/obo/ENVO_00000064
road_class,description,ENVO,http://purl.obolibrary.org/obo/ENVO_00000064
casualty_class,description,NCIT,http://purl.obolibrary.org/obo/NCIT_C212267
casualty_severity,description,SNOMED CT,http://snomed.info/id/272141005
sex,description,SNOMED CT,http://snomed.info/id/734000001
accident,reference_number,Dublin Core,http://purl.org/dc/terms/identifier
accident,easting,GeoSPARQL,http://www.opengis.net/ont/geosparql#SpatialObject
accident,northing,GeoSPARQL,http://www.opengis.net/ont/geosparql#SpatialObject
accident,number_of_vehicles,QUDT,http://qudt.org/schema/qudt/Quantity
accident,date,OWL-Time,http://www.w3.org/2006/time#Instant
accident,time,OWL-Time,http://www.w3.org/2006/time#Instant
person,age,NCIT,http://purl.obolibrary.org/obo/NCIT_C25150
